"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_03 Verify the Store navigation menu options without dropdown","1577","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:31:16 GMT 2025","passed","Sun May 18 00:31:18 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","2569","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:31:51 GMT 2025","passed","Sun May 18 00:31:54 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","1659","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:32:44 GMT 2025","passed","Sun May 18 00:32:45 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the opened product breadcrumb path","1644","testProductPath","CrossBrowserSuite","Sun May 18 00:33:04 GMT 2025","passed","Sun May 18 00:33:06 GMT 2025","com.opencart.test.ProductTest","EdgeTest","com.opencart.test.ProductTest","testProductPath"
"Verify the message when the search term does not match any products","814","testMessageForEmptySearchResult","CrossBrowserSuite","Sun May 18 00:31:22 GMT 2025","passed","Sun May 18 00:31:23 GMT 2025","com.opencart.test.SearchTest","ChromeTest","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
"Verify the added item quantity via cart preview","1950","testAddedItemQuantityViaCartPreview","CrossBrowserSuite","Sun May 18 00:32:28 GMT 2025","passed","Sun May 18 00:32:30 GMT 2025","com.opencart.test.CartTest","FirefoxTest","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"Verify the login page has the supposed sidebar menu options","758","testSidebarMenuOptions","CrossBrowserSuite","Sun May 18 00:31:26 GMT 2025","passed","Sun May 18 00:31:27 GMT 2025","com.opencart.test.LoginTest","ChromeTest","com.opencart.test.LoginTest","testSidebarMenuOptions"
"Verify the successful file uploading on the Apple Cinema page","2974","testAppleCinemaFileUploading","Regression","Sun May 18 00:30:15 GMT 2025","passed","Sun May 18 00:30:18 GMT 2025","com.opencart.test.FileUploadingTest","Regression Test Run on Chrome","com.opencart.test.FileUploadingTest","testAppleCinemaFileUploading"
"TC_03 Verify the Store navigation menu options without dropdown","1550","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:32:03 GMT 2025","passed","Sun May 18 00:32:05 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the search field visibility","105","testSearchFieldVisibility","CrossBrowserSuite","Sun May 18 00:32:13 GMT 2025","passed","Sun May 18 00:32:13 GMT 2025","com.opencart.test.SearchTest","FirefoxTest","com.opencart.test.SearchTest","testSearchFieldVisibility"
"Verify the Store home page is opened via current URL and the page title","138","testStoreHomePageURLAndTitle","CrossBrowserSuite","Sun May 18 00:31:16 GMT 2025","passed","Sun May 18 00:31:16 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"TC_04 Verify the 'Components' category dropdown options navigation","2171","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:32:43 GMT 2025","passed","Sun May 18 00:32:45 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","1843","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:32:44 GMT 2025","passed","Sun May 18 00:32:46 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","1017","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:32:09 GMT 2025","passed","Sun May 18 00:32:11 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","2696","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:31:47 GMT 2025","passed","Sun May 18 00:31:50 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_02 Verify the Store navigation menu options via dropdown","2292","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:31:45 GMT 2025","passed","Sun May 18 00:31:47 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the message when the search term does not match any products","747","testMessageForEmptySearchResult","CrossBrowserSuite","Sun May 18 00:32:50 GMT 2025","passed","Sun May 18 00:32:50 GMT 2025","com.opencart.test.SearchTest","EdgeTest","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
